"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57740118";"01";"";"83374";"";"78016";"0";"LATO SENSU";"";"";"2024";"2";"2024/02/29 00:00:00.000";"2024/03/29 00:00:00.000";"";"";"";"REGULAR";"true";"2025/01/15 11:25:10.492000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57740121";"01";"1714249";"";"";"78017";"0";"LATO SENSU";"";"";"2024";"2";"2024/03/07 00:00:00.000";"2024/03/29 00:00:00.000";"";"";"";"REGULAR";"true";"2025/01/15 11:27:09.942000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57740121";"01";"";"83492";"";"78017";"0";"LATO SENSU";"";"";"2024";"2";"2024/03/07 00:00:00.000";"2024/03/29 00:00:00.000";"";"";"";"REGULAR";"true";"2025/01/15 11:27:09.942000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57740122";"01";"";"83375";"";"78018";"0";"LATO SENSU";"";"";"2024";"2";"2024/03/12 00:00:00.000";"2024/03/29 00:00:00.000";"";"";"";"REGULAR";"true";"2025/01/15 11:28:54.102000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57741171";"01";"3490575";"";"";"54398";"30";"STRICTO SENSU";"";"CERES";"2024";"2";"2024/08/01 00:00:00.000";"2024/09/30 00:00:00.000";"5N1234";"0";"15";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57741172";"01";"1784950";"";"";"67333";"30";"STRICTO SENSU";"";"CERES";"2024";"2";"2024/08/01 00:00:00.000";"2024/09/30 00:00:00.000";"6N1234";"0";"15";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57741286";"01";"1149638";"";"Exclusiva para discentes regulares do PPGFIL";"61505";"30";"STRICTO SENSU";"";"Setor II - Sala F - 04";"2024";"2";"2024/10/10 00:00:00.000";"2024/12/12 00:00:00.000";"5M2345";"8";"20";"REGULAR";"false";"2024/12/23 15:50:00.161000000";"false";"";"36";"CONSOLIDADA";"";"Presencial"
"57741287";"01";"2415197";"";"Tema: HUMANIDADE, RACIONALIDADE, RAÇA E CARÁTER EM HEGEL";"61621";"60";"STRICTO SENSU";"";"Setor II - Sala I-10";"2024";"2";"2024/08/06 00:00:00.000";"2024/12/03 00:00:00.000";"3T2345";"8";"30";"REGULAR";"false";"2025/02/27 07:51:50.651000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57741288";"01";"1160740";"";"Tema: TEORIAS DA VERDADE";"61512";"15";"STRICTO SENSU";"";"Setor II - Sala I - 11";"2024";"2";"2024/09/02 00:00:00.000";"2024/09/30 00:00:00.000";"2T3456";"1";"30";"REGULAR";"false";"2024/10/05 13:40:49.487000000";"false";"";"20";"CONSOLIDADA";"";"Presencial"
"57741289";"01";"3411178";"";"Tema: FILOSOFIA DO TEMPO";"61533";"30";"STRICTO SENSU";"";"Setor II - Sala C - 01";"2024";"2";"2024/08/07 00:00:00.000";"2024/12/04 00:00:00.000";"4T12";"6";"30";"REGULAR";"false";"2025/02/06 21:02:09.346000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57741290";"01";"1048318";"";"Tema: FILOSOFIA DA INFORMAÇÃO";"61601";"30";"STRICTO SENSU";"";"Setor II - Sala F-4";"2024";"2";"2024/08/07 00:00:00.000";"2024/10/02 00:00:00.000";"4T3456";"3";"30";"REGULAR";"false";"2024/10/29 19:29:34.456000000";"false";"";"36";"CONSOLIDADA";"";"Presencial"
"57741291";"01";"3290329";"";"";"61615";"60";"STRICTO SENSU";"";"Setor II, Sala G4";"2024";"2";"2024/09/18 00:00:00.000";"2025/01/29 00:00:00.000";"4N1234";"5";"30";"REGULAR";"false";"2025/02/19 15:23:48.548000000";"false";"";"68";"CONSOLIDADA";"";"Presencial"
"57741292";"01";"3327504";"";"";"61514";"60";"STRICTO SENSU";"";"Setor II - Sala I - 11";"2024";"2";"2024/08/07 00:00:00.000";"2024/12/04 00:00:00.000";"4T2345";"1";"30";"REGULAR";"false";"2025/02/02 01:21:04.938000000";"false";"";"68";"CONSOLIDADA";"";"Presencial"
"57741293";"02";"3490575";"";"";"54398";"30";"STRICTO SENSU";"";"CERES";"2024";"2";"2024/08/01 00:00:00.000";"2024/08/31 00:00:00.000";"56T456";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57741294";"02";"1784950";"";"";"67333";"30";"STRICTO SENSU";"";"CERES";"2024";"2";"2024/08/01 00:00:00.000";"2024/08/31 00:00:00.000";"5T56  5N1234";"0";"13";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57741295";"01";"1149537";"";"";"54396";"30";"STRICTO SENSU";"";"AUDITÓRIO E CCHLA";"2024";"2";"2024/09/16 00:00:00.000";"2024/11/11 00:00:00.000";"2N1234";"23";"23";"REGULAR";"false";"2024/12/11 19:42:25.405000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57741296";"01";"4579763";"";"";"76528";"30";"STRICTO SENSU";"";"DECOM/COMUNICA";"2024";"2";"2024/09/17 00:00:00.000";"2024/11/05 00:00:00.000";"3N1234";"23";"23";"REGULAR";"false";"2024/11/18 16:39:40.860000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57741297";"01";"2275732";"";"";"67091";"15";"STRICTO SENSU";"";"AUDITORIO E";"2024";"2";"2024/09/04 00:00:00.000";"2024/10/23 00:00:00.000";"4N1234";"0";"23";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57741297";"01";"1298976";"";"";"67091";"15";"STRICTO SENSU";"";"AUDITORIO E";"2024";"2";"2024/09/04 00:00:00.000";"2024/10/23 00:00:00.000";"4N1234";"0";"23";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57741298";"01";"1167852";"";"";"76532";"15";"STRICTO SENSU";"";"AUDITORIO E CCHLA";"2024";"2";"2024/11/18 00:00:00.000";"2024/12/23 00:00:00.000";"2T6  2N1234";"12";"23";"REGULAR";"false";"2025/02/09 17:09:36.955000000";"false";"";"30";"CONSOLIDADA";"";"Presencial"
"57741298";"01";"3456619";"";"";"76532";"15";"STRICTO SENSU";"";"AUDITORIO E CCHLA";"2024";"2";"2024/11/18 00:00:00.000";"2024/12/23 00:00:00.000";"2T6  2N1234";"12";"23";"REGULAR";"false";"2025/02/09 17:09:36.955000000";"false";"";"30";"CONSOLIDADA";"";"Presencial"
"57741299";"03";"3490575";"";"";"54398";"30";"STRICTO SENSU";"";"AUDITÓRIO E CCHLA";"2024";"2";"2024/11/12 00:00:00.000";"2024/12/17 00:00:00.000";"3T6  3N1234";"18";"23";"REGULAR";"false";"2025/01/17 11:05:32.962000000";"false";"";"29";"CONSOLIDADA";"";"Presencial"
"57741300";"03";"1784950";"";"";"67333";"30";"STRICTO SENSU";"";"AUDITÓRIO E CCHLA";"2024";"2";"2024/11/14 00:00:00.000";"2024/12/26 00:00:00.000";"5T6  5N1234";"11";"23";"REGULAR";"false";"";"false";"";"";"ABERTA";"";"Presencial"
"57741301";"02";"1298976";"";"PROJETOS DE INTERESSE NA ÁREA AMBIENTAL";"67091";"15";"STRICTO SENSU";"";"HÍBRIDO/CERES";"2024";"2";"2024/11/04 00:00:00.000";"2024/12/25 00:00:00.000";"2N1234";"2";"5";"REGULAR";"false";"2025/01/28 06:09:50.658000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57741301";"02";"2275732";"";"PROJETOS DE INTERESSE NA ÁREA AMBIENTAL";"67091";"15";"STRICTO SENSU";"";"HÍBRIDO/CERES";"2024";"2";"2024/11/04 00:00:00.000";"2024/12/25 00:00:00.000";"2N1234";"2";"5";"REGULAR";"false";"2025/01/28 06:09:50.658000000";"false";"";"32";"CONSOLIDADA";"";"Presencial"
"57741315";"01";"1195933";"";"";"56954";"30";"STRICTO SENSU";"";"";"2024";"2";"2024/07/08 00:00:00.000";"2024/09/01 00:00:00.000";"";"19";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57741316";"01";"1097650";"";"";"56955";"30";"STRICTO SENSU";"";"";"2024";"2";"2024/09/02 00:00:00.000";"2024/11/17 00:00:00.000";"";"19";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57741316";"01";"1222022";"";"";"56955";"30";"STRICTO SENSU";"";"";"2024";"2";"2024/09/02 00:00:00.000";"2024/11/17 00:00:00.000";"";"19";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57741317";"01";"1222022";"";"";"56956";"30";"STRICTO SENSU";"";"";"2024";"2";"2024/11/18 00:00:00.000";"2025/02/02 00:00:00.000";"";"19";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57741317";"01";"1042373";"";"";"56956";"30";"STRICTO SENSU";"";"";"2024";"2";"2024/11/18 00:00:00.000";"2025/02/02 00:00:00.000";"";"19";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57741318";"01";"1047700";"";"";"61607";"60";"STRICTO SENSU";"";"Setor II - Sala D - 01";"2024";"2";"2024/09/16 00:00:00.000";"2024/12/09 00:00:00.000";"2T123456";"7";"30";"REGULAR";"false";"2024/12/16 14:13:45.929000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57741320";"01";"2262871";"";"";"72529";"15";"STRICTO SENSU";"";"";"2024";"2";"2024/10/23 00:00:00.000";"2025/02/02 00:00:00.000";"";"20";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57741320";"01";"2374850";"";"";"72529";"15";"STRICTO SENSU";"";"";"2024";"2";"2024/10/23 00:00:00.000";"2025/02/02 00:00:00.000";"";"20";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57741320";"01";"2330137";"";"";"72529";"15";"STRICTO SENSU";"";"";"2024";"2";"2024/10/23 00:00:00.000";"2025/02/02 00:00:00.000";"";"20";"";"REGULAR";"true";"";"false";"";"";"ABERTA";"";"A Distância"
"57741321";"01";"";"73039";"";"72668";"15";"STRICTO SENSU";"";"Setor II - Sala C - 01";"2024";"2";"2024/08/27 00:00:00.000";"2024/09/24 00:00:00.000";"3M3456";"2";"30";"REGULAR";"false";"2024/10/21 16:21:22.147000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57741322";"01";"";"73038";"";"61542";"15";"STRICTO SENSU";"";"Setor II - Sala E5";"2024";"2";"2024/08/07 00:00:00.000";"2024/08/28 00:00:00.000";"4M23456";"2";"30";"REGULAR";"false";"2024/10/21 16:20:33.249000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57741331";"01";"1674328";"";"";"59267";"60";"STRICTO SENSU";"";"Sala 16";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"3N1234";"8";"15";"REGULAR";"false";"2025/01/07 18:58:17.773000000";"false";"";"76";"CONSOLIDADA";"";"Presencial"
"57741332";"01";"";"1147";"";"75065";"60";"STRICTO SENSU";"";"Sala 31";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"3T2345 (12/08/2024 - 21/12/2024)";"7";"20";"REGULAR";"false";"2024/12/20 18:03:03.316000000";"false";"";"76";"CONSOLIDADA";"";"Presencial"
"57741333";"01";"1958705";"";"";"57312";"20";"STRICTO SENSU";"";"Sala 24";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"2T2345";"12";"20";"REGULAR";"false";"2024/12/26 19:43:11.837000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57741333";"01";"2432915";"";"";"57312";"20";"STRICTO SENSU";"";"Sala 24";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"2T2345";"12";"20";"REGULAR";"false";"2024/12/26 19:43:11.837000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57741333";"01";"";"72999";"";"57312";"20";"STRICTO SENSU";"";"Sala 24";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"2T2345";"12";"20";"REGULAR";"false";"2024/12/26 19:43:11.837000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57741334";"01";"3060797";"";"";"65202";"6";"STRICTO SENSU";"";"a definir";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"7N1234 (12/08/2024 - 21/12/2024)";"14";"15";"REGULAR";"false";"2024/12/20 09:48:25.941000000";"false";"";"60";"CONSOLIDADA";"";"Presencial"
"57741334";"01";"";"72612";"";"65202";"6";"STRICTO SENSU";"";"a definir";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"7N1234 (12/08/2024 - 21/12/2024)";"14";"15";"REGULAR";"false";"2024/12/20 09:48:25.941000000";"false";"";"60";"CONSOLIDADA";"";"Presencial"
"57741334";"01";"2276305";"";"";"65202";"6";"STRICTO SENSU";"";"a definir";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"7N1234 (12/08/2024 - 21/12/2024)";"14";"15";"REGULAR";"false";"2024/12/20 09:48:25.941000000";"false";"";"60";"CONSOLIDADA";"";"Presencial"
"57741334";"01";"1674934";"";"";"65202";"6";"STRICTO SENSU";"";"a definir";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"7N1234 (12/08/2024 - 21/12/2024)";"14";"15";"REGULAR";"false";"2024/12/20 09:48:25.941000000";"false";"";"60";"CONSOLIDADA";"";"Presencial"
"57741334";"01";"2669418";"";"";"65202";"6";"STRICTO SENSU";"";"a definir";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"7N1234 (12/08/2024 - 21/12/2024)";"14";"15";"REGULAR";"false";"2024/12/20 09:48:25.941000000";"false";"";"60";"CONSOLIDADA";"";"Presencial"
"57741334";"01";"2292957";"";"";"65202";"6";"STRICTO SENSU";"";"a definir";"2024";"2";"2024/08/12 00:00:00.000";"2024/12/21 00:00:00.000";"7N1234 (12/08/2024 - 21/12/2024)";"14";"15";"REGULAR";"false";"2024/12/20 09:48:25.941000000";"false";"";"60";"CONSOLIDADA";"";"Presencial"
