Cidade,Nº POIs,MST Total (km),Nº Arestas MST,Média por POI (km/POI),Média por Aresta (km/aresta)
Salvador,59.0,70.23405896800686,58.0,1.1904077791187604,1.210932051172532
Fortaleza,63.0,62.07393469537174,62.0,0.9853005507201863,1.0011924950866409
Recife,42.0,47.8045087337889,41.0,1.1382025888997358,1.1659636276533878
Teresina,33.0,40.41428680158583,32.0,1.224675357623813,1.2629464625495572
São Luís,26.0,39.61226344601193,25.0,1.5235485940773819,1.5844905378404772
Maceió,18.0,32.523969310860764,17.0,1.806887183936709,1.9131746653447508
João Pessoa,12.0,30.48671428497112,11.0,2.5405595237475933,2.77151948045192
Aracaju,13.0,20.235247919464985,12.0,1.5565575322665373,1.6862706599554154
Natal,14.0,17.63853987043205,13.0,1.2598957050308608,1.356810759264004
MÉDIA GERAL,31.11111111111111,40.11372489227713,30.11111111111111,1.4695594239357308,1.5503667488131874
DESVIO PADRÃO,19.687841707792938,17.676067181762285,19.687841707792938,0.4740083679358389,0.5393429174525917
